s1,s2,stance
السعودية تطلق تطبيقا على الهاتف المحمول لـ تقييم الخطب الدينية,إطلاق تطبيق على الهاتف المحمول لتقييم الخطب الدينية فى السعودية,agree
إسرائيل تسقط طائرة مقاتلة سورية من نوع سوخوي فوق الجولان,إسرائيل تمنح أكثر من 16 ألف طالب لجوء حق الإقامة الدائمة,other
تراجع للنفط مع زيادة المخزونات الأمريكية,تراجع للذهب مع زيادة المخزونات الأمريكية,disagree
تعرف على خسائر الطيران الروسي في سوريا منذ 2015,أرباح طائلة للطيران الروسى,disagree
تركيا ستتدخل بسوق العملات,تركيا توقف عن التدخل في سوق العملات,disagree
قطر تتهم السعودية باعتقال أحد مواطنيها والإعلام السعودي يصفه بأنه ضابط مخابرات,اتهام للسعودية باعتقال مواطن قطري والإعلام السعودي يصفه بأنه ضابط مخابرات,agree
تطلعات مصرية إيطالية كبيرة تهدف لكشف الغموض عن مقتل ريجينى,قضية مقتل ريجينى تلقى الأهمال من الحكومة المصرية و الإيطالية,disagree
اكتشاف تعلنه وزارة الآثار المصرية عن وجود قرية تعود إلى العصر الحجري الحديث,اكتشاف تعلنه وزارة الآثار المصرية عن وجود قرية تعود إلى العصر الجليدي,disagree
المكياج الفريد لبنات ونساء الروهينجا المسلمات في بنغلاديش,مكياج بنات و نساء الروهينجا المسلمات في بنغلاديش فريد من نوعه,agree
بعد عام من الحرمان من الرواتب: إضراب في إقليم كردستان العراق,حياة طبيعية في أربيل ومدن كردية عراقية بعد صرف الرواتب,disagree
أعلن الدفاع الجوي السوري التصدى لهجوم صاروخي على قاعدة جوية في حمص,فشل الدفاع الجوي السوري فى التصدى لهجوم على قاعدة جوية في حمص,disagree
توثيق 78 حالة اختفاء قسري بالعراق من قبل هيومن رايتس ووتش,هيومن رايتس ووتش: لا يوجد اختفاء قسري بالعراق,disagree
وفاة مبتكر الرجل العنكبوت عن عمر 90 عاما,مبتكر شخصية الرجل العنكبوت يتوفى عن عمر يناهز 25عام,disagree
التحرش الجنسي يطال 43 % من الشابات في المهرجانات الموسيقية,43% من الشابات في المهرجانات الموسيقية يُتحرش بهم,agree
طلبة في جامعة مانشستر يمحون قصيدة للشاعر الإنجليزي كيبلينغ يصفونها بالعنصرية,إزالة  قصيدة للشاعر الإنجليزي كيبلينغ وصفت بالعنصرية من قبل طلبة في جامعة مانشستر,agree
رحلتي من الإذاعة إلى الانترنت في بي بي سي,رحلتي في سي ان ان من أثير الإذاعة إلى عصر الإنترنت,disagree
ارتفاع في أسعار النفط,هبوط عالمي للنفط,disagree
حبس مدون ساخر مصري بتهمة نشر أخبار كاذبة,اخلاء سبيل مدون ساخر مصري,disagree
هل توقف كندا تصدير الأسلحة للسعودية كما فعلت ألمانيا؟,أنباء عن توقف تصدير السلاح للسعودية من قبل أمريكا,disagree
هل توقف كندا تصدير الأسلحة للسعودية كما فعلت ألمانيا؟,تسؤلات عن توقف تصدير الأسلحة للسعودية من كندا,agree
الشرطة المصرية تحبط محاولة أحدهم لتنفيذ هجوم انتحاري على كنيسة بالقاهرة,إحباط هجوم انتحاري على كنيسة في السعودية,disagree
المغرب: صدمة إثر مقتل الشابة حياة في البحر وسط تفشي إشاعة فونطوم,نجاة الشابة حياة من القتل فى المغرب,disagree
إيرادات السياحة المصرية لأعلى مستوى,هبوط إيرادات السياحة المصرية,disagree
تدهور سريع بالليرة التركية,صعود للعملة التركية مجدداً,disagree
النجم التلفزيوني سايمون كاول لم يستخدم الهاتف المحمول منذ عشرة أشهر,عشرة سنين لم يستخدم فيها النجم سايمون كاول الهاتف,disagree
دونالد ترامب لملك السعودية سلمان بن عبد العزيز: لن تبقى في السلطة أسبوعين دون دعم الولايات المتحدة,ترامب يدعم ملك السعودية,disagree
إيران: مقتل 5 من أفراد الشرطة في اشتباكات مع صوفيين,اشتباكات بين الشرطة والصوفيين مما أدى لوقوع 5 ضحايا من أفراد الشرطة,agree
كيف تتأثر معيشة الإيرانيين بانسحاب ترامب من الاتفاق النووي؟,تعرف على النتائج المترتبة على انسحاب ترامب من الاتفاق النووي و تأثيرها على معيشة الإيرانيين,agree
ملك المغرب من الحسيمة: على الحكومة الإسراع في مواجهة المشاكل الاجتماعية,أمر ملك المغرب الحكومة بالإسراع في مواجهة المشاكل الاجتماعية,agree
دعى السيستاني لتشكيل حكومة عراقية جديدة في أقرب وقت ممكن,السيستاني يرفض تشكيل حكومة عراقية جديدة,disagree
صفعة اقتصادية قوية لإيران,السعودية تتلقى صفعة اقتصادية قوية,disagree
كوريا الشمالية تزود سوريا بمواد قد تستخدم لإنتاج أسلحة كيماوية,كوريا الشمالية ترفض دعم سوريا,disagree
الصراع في سوريا: غارات جوية تدمر مستشفيات في درعا,عدد من المستشفيات في درعا يُدمر إثر غارات جوية على سوريا,agree
بيان استغاثة من رجال الأعمال في تركيا عقب انهيار الليرة,الليرة تهبط مجددا ورجال الأعمال الأتراك يستغيثون,agree
الرئيس السوداني يستبدل رئيس الأركان ضمن تغييرات في قيادات الجيش,السودان: استبدال رئيس الأركان ضمن تغييرات في قيادات الجيش,agree
